Municipios de 500 habitantes o más,Sexo,Nacionalidad,Nivel de estudios en curso,Periodo,Total
35001 Agaete,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35006 Arucas,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35007 Betancuria,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35007 Betancuria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35008 Firgas,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35010 Haría,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35010 Haría,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35011 Ingenio,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35013 Moya,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35021 Santa Brígida,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35025 Tejeda,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35027 Teror,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35032 Valleseco,Hombres,Española,Educación primaria e inferior,1-ene-21,0
35032 Valleseco,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35033 Vega de San Mateo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38002 Agulo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38004 Arafo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38005 Arico,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38005 Arico,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38010 Buenavista del Norte,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38011 Candelaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38014 Fuencaliente de la Palma,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38015 Garachico,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38018 Guancha, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38020 Güímar,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38021 Hermigua,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38021 Hermigua,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38022 Icod de los Vinos,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38025 Matanza de Acentejo, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38026 Orotava, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38027 Paso, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38028 Puerto de la Cruz,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38029 Puntagorda,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38029 Puntagorda,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38030 Puntallana,Hombres,Española,Educación primaria e inferior,1-ene-21,0
"38031 Realejos, Los",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38032 Rosario, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38033 San Andrés y Sauces,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38034 San Juan de la Rambla,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38034 San Juan de la Rambla,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38036 San Sebastián de la Gomera,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38037 Santa Cruz de la Palma,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38037 Santa Cruz de la Palma,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38039 Santa Úrsula,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38040 Santiago del Teide,Hombres,Española,Educación primaria e inferior,1-ene-21,0
"38041 Sauzal, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38042 Silos, Los",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38043 Tacoronte,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38044 Tanque, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38045 Tazacorte,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38046 Tegueste,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38047 Tijarafe,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38049 Valle Gran Rey,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38049 Valle Gran Rey,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38050 Vallehermoso,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38052 Vilaflor de Chasna,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
38053 Villa de Mazo,Hombres,Española,Educación primaria e inferior,1-ene-21,0
38053 Villa de Mazo,Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38901 Pinar de El Hierro, El",Hombres,Española,Educación primaria e inferior,1-ene-21,0
"38901 Pinar de El Hierro, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-21,0
35001 Agaete,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35002 Agüimes,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35005 Artenara,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35007 Betancuria,Hombres,Española,Educación primaria e inferior,1-ene-23,0
35007 Betancuria,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35008 Firgas,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35010 Haría,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35013 Moya,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"35014 Oliva, La",Hombres,Española,Educación primaria e inferior,1-ene-23,0
35024 Teguise,Hombres,Española,Educación primaria e inferior,1-ene-23,0
35024 Teguise,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35025 Tejeda,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35026 Telde,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35027 Teror,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35028 Tías,Hombres,Española,Educación primaria e inferior,1-ene-23,0
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35032 Valleseco,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
35033 Vega de San Mateo,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38002 Agulo,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38003 Alajeró,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38003 Alajeró,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38004 Arafo,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38005 Arico,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38007 Barlovento,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38007 Barlovento,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38009 Breña Baja,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38010 Buenavista del Norte,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38010 Buenavista del Norte,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38011 Candelaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38012 Fasnia,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38012 Fasnia,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38014 Fuencaliente de la Palma,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38015 Garachico,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38016 Garafía,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38016 Garafía,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"38018 Guancha, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38020 Güímar,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38021 Hermigua,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38021 Hermigua,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"38025 Matanza de Acentejo, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"38027 Paso, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38028 Puerto de la Cruz,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38029 Puntagorda,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38029 Puntagorda,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38030 Puntallana,Hombres,Española,Educación primaria e inferior,1-ene-23,0
"38032 Rosario, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38033 San Andrés y Sauces,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38033 San Andrés y Sauces,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38034 San Juan de la Rambla,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38034 San Juan de la Rambla,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38035 San Miguel de Abona,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38036 San Sebastián de la Gomera,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38036 San Sebastián de la Gomera,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38039 Santa Úrsula,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"38042 Silos, Los",Hombres,Española,Educación primaria e inferior,1-ene-23,0
"38042 Silos, Los",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
"38044 Tanque, El",Hombres,Española,Educación primaria e inferior,1-ene-23,0
"38044 Tanque, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38047 Tijarafe,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38049 Valle Gran Rey,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38049 Valle Gran Rey,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38050 Vallehermoso,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38052 Vilaflor de Chasna,Hombres,Española,Educación primaria e inferior,1-ene-23,0
38052 Vilaflor de Chasna,Hombres,Extranjera,Educación primaria e inferior,1-ene-23,0
38053 Villa de Mazo,Hombres,Española,Educación primaria e inferior,1-ene-23,0
"38901 Pinar de El Hierro, El",Hombres,Española,Educación primaria e inferior,1-ene-23,0
35001 Agaete,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35005 Artenara,Hombres,Española,Educación primaria e inferior,1-ene-22,0
35005 Artenara,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35007 Betancuria,Hombres,Española,Educación primaria e inferior,1-ene-22,0
35007 Betancuria,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35008 Firgas,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35013 Moya,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"35020 Aldea de San Nicolás, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35025 Tejeda,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35028 Tías,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35031 Valsequillo de Gran Canaria,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35032 Valleseco,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
35033 Vega de San Mateo,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38002 Agulo,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38003 Alajeró,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38003 Alajeró,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38004 Arafo,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38004 Arafo,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38005 Arico,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38007 Barlovento,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38008 Breña Alta,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38008 Breña Alta,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38010 Buenavista del Norte,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38012 Fasnia,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38013 Frontera,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38014 Fuencaliente de la Palma,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38015 Garachico,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38016 Garafía,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38016 Garafía,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38018 Guancha, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38021 Hermigua,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38021 Hermigua,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38022 Icod de los Vinos,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38025 Matanza de Acentejo, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38026 Orotava, La",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38027 Paso, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38028 Puerto de la Cruz,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38029 Puntagorda,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38029 Puntagorda,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38030 Puntallana,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38030 Puntallana,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38033 San Andrés y Sauces,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38034 San Juan de la Rambla,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38034 San Juan de la Rambla,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38036 San Sebastián de la Gomera,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38039 Santa Úrsula,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38042 Silos, Los",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38044 Tanque, El",Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38046 Tegueste,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38047 Tijarafe,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38048 Valverde,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38049 Valle Gran Rey,Hombres,Española,Educación primaria e inferior,1-ene-22,0
38049 Valle Gran Rey,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38050 Vallehermoso,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
38052 Vilaflor de Chasna,Hombres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38901 Pinar de El Hierro, El",Hombres,Española,Educación primaria e inferior,1-ene-22,0
35001 Agaete,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35003 Antigua,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
35003 Antigua,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
35005 Artenara,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
35005 Artenara,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35005 Artenara,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35006 Arucas,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35007 Betancuria,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
35007 Betancuria,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
35008 Firgas,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35008 Firgas,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35010 Haría,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
35010 Haría,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35010 Haría,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35013 Moya,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35013 Moya,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"35020 Aldea de San Nicolás, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"35020 Aldea de San Nicolás, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35021 Santa Brígida,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35021 Santa Brígida,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35026 Telde,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35027 Teror,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35031 Valsequillo de Gran Canaria,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35031 Valsequillo de Gran Canaria,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35032 Valleseco,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
35032 Valleseco,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35032 Valleseco,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35033 Vega de San Mateo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
35033 Vega de San Mateo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38002 Agulo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38002 Agulo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38003 Alajeró,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38003 Alajeró,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38003 Alajeró,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38004 Arafo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38004 Arafo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38007 Barlovento,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38007 Barlovento,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38007 Barlovento,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38008 Breña Alta,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38010 Buenavista del Norte,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38010 Buenavista del Norte,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38012 Fasnia,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38012 Fasnia,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38012 Fasnia,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38013 Frontera,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38013 Frontera,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38013 Frontera,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38014 Fuencaliente de la Palma,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38014 Fuencaliente de la Palma,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38014 Fuencaliente de la Palma,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38015 Garachico,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38015 Garachico,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38016 Garafía,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38016 Garafía,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38018 Guancha, La",Mujeres,Española,Educación primaria e inferior,1-ene-22,0
"38018 Guancha, La",Mujeres,Española,Educación primaria e inferior,1-ene-21,0
"38018 Guancha, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38018 Guancha, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38021 Hermigua,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38021 Hermigua,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38021 Hermigua,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38021 Hermigua,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38026 Orotava, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38027 Paso, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38027 Paso, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38029 Puntagorda,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38029 Puntagorda,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38030 Puntallana,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38030 Puntallana,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38030 Puntallana,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38032 Rosario, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38032 Rosario, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38033 San Andrés y Sauces,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38033 San Andrés y Sauces,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38033 San Andrés y Sauces,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38033 San Andrés y Sauces,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38034 San Juan de la Rambla,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38034 San Juan de la Rambla,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38034 San Juan de la Rambla,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38034 San Juan de la Rambla,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38035 San Miguel de Abona,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38035 San Miguel de Abona,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38036 San Sebastián de la Gomera,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38036 San Sebastián de la Gomera,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38039 Santa Úrsula,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38039 Santa Úrsula,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38040 Santiago del Teide,Mujeres,Española,Educación primaria e inferior,1-ene-22,0
38040 Santiago del Teide,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38040 Santiago del Teide,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38041 Sauzal, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38042 Silos, Los",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38042 Silos, Los",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38043 Tacoronte,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38044 Tanque, El",Mujeres,Española,Educación primaria e inferior,1-ene-21,0
"38044 Tanque, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
"38044 Tanque, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38046 Tegueste,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38047 Tijarafe,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38050 Vallehermoso,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38050 Vallehermoso,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38051 Victoria de Acentejo, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
38052 Vilaflor de Chasna,Mujeres,Española,Educación primaria e inferior,1-ene-21,0
38052 Vilaflor de Chasna,Mujeres,Extranjera,Educación primaria e inferior,1-ene-22,0
38052 Vilaflor de Chasna,Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
"38901 Pinar de El Hierro, El",Mujeres,Española,Educación primaria e inferior,1-ene-22,0
"38901 Pinar de El Hierro, El",Mujeres,Española,Educación primaria e inferior,1-ene-21,0
"38901 Pinar de El Hierro, El",Mujeres,Extranjera,Educación primaria e inferior,1-ene-21,0
35001 Agaete,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35005 Artenara,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
35005 Artenara,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35006 Arucas,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35007 Betancuria,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
35007 Betancuria,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35008 Firgas,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35010 Haría,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35013 Moya,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
"35020 Aldea de San Nicolás, La",Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35021 Santa Brígida,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35024 Teguise,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35025 Tejeda,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35027 Teror,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35031 Valsequillo de Gran Canaria,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35032 Valleseco,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
35033 Vega de San Mateo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38002 Agulo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38003 Alajeró,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
38003 Alajeró,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38004 Arafo,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38005 Arico,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38007 Barlovento,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
38007 Barlovento,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38008 Breña Alta,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38010 Buenavista del Norte,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38012 Fasnia,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
38012 Fasnia,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
38013 Frontera,Mujeres,Española,Educación primaria e inferior,1-ene-23,0
38013 Frontera,Mujeres,Extranjera,Educación primaria e inferior,1-ene-23,0
